Time,ADC Value,Std Deviation,Calibrated OD
0,2287.88,115.5922,0.1515934
30,2278.95,157.3359,0.1609516
60,2284.39,156.09,0.1552465
90,2285.22,152.9957,0.1543771
120,2279.63,157.1852,0.1602378
150,2286.61,153.6659,0.152922
180,2280.35,154.3486,0.159482
210,2283.12,153.055,0.156577
240,2282.32,154.686,0.1574157
270,2282.91,154.0614,0.1567972
300,2282.91,155.7427,0.1567972
330,2290.63,153.4775,0.148719
360,2281.92,156.1941,0.1578352
390,2285.16,152.8284,0.1544401
420,2280.48,155.2634,0.1593457
450,2282.44,152.3992,0.1572899
480,2282.25,154.2786,0.1574892
510,2288.55,154.2028,0.1508927
540,2281.05,156.1048,0.1587476
570,2286.13,152.985,0.1534246
600,2285.34,154.7091,0.1542514
630,2286.52,154.2614,0.1530162
660,2278.93,155.1396,0.1609727
690,2282.82,153.8713,0.1568915
720,2288.71,157.7693,0.1507254
750,2288.15,154.6464,0.1513111
780,2282.4,154.3164,0.1573319
810,2282.4,150.3762,0.1573319
840,2286.41,155.5742,0.1531314
870,2281.55,153.1501,0.1582231
900,2281.26,155.6857,0.1585273
930,2285.15,152.4593,0.1544505
960,2285.04,155.8096,0.1545655
990,2281.89,153.2436,0.1578668
1020,2284.09,153.6507,0.1555606
1050,2284.11,153.9382,0.1555396
1080,2281.97,155.1133,0.1577827
1110,2280.47,152.6873,0.1593562
1140,2280.81,155.2181,0.1589994
1170,2276.58,151.8569,0.1634413
1200,2282.97,162.0864,0.1567344
1230,2281.73,152.3655,0.1580344
1260,2281.63,154.7415,0.1581394
1290,2283.89,152.859,0.1557703
1320,2283.1,154.9459,0.1565979
1350,2284.32,153.285,0.1553196
1380,2279.8,154.0705,0.1600593
1410,2281.57,152.0661,0.1582022
1440,2278.72,152.9273,0.1611932
1470,2280.98,153.6304,0.1588211
1500,2279.44,154.6061,0.1604373
1530,2278.47,153.0573,0.1614558
1560,2284.3,155.3038,0.1553406
1590,2282.59,154.2319,0.1571325
1620,2282.53,157.0596,0.1571955
1650,2280.19,153.1947,0.1596501
1680,2287.94,153.3052,0.1515307
1710,2282.51,151.8726,0.1572164
1740,2278.18,155.3583,0.1617604
1770,2281.37,153.7136,0.1584118
1800,2278.72,155.8646,0.1611932
1830,2283.6,153.0704,0.1560739
1860,2285.55,154.5227,0.1540315
1890,2278.89,153.3386,0.1610148
1920,2280.58,155.8787,0.1592406
1950,2280.04,153.5516,0.1598073
1980,2282.21,155.3343,0.1575311
2010,2285.65,145.03,0.153927
2040,2283.54,156.4753,0.1561369
2070,2280.99,153.7594,0.1588106
2100,2278.32,154.1657,0.1616132
2130,2281.99,151.2691,0.1577618
2160,2282.13,155.1571,0.1576151
2190,2282.8,153.9984,0.1569124
2220,2284.62,154.544,0.1550054
2250,2286.06,153.4623,0.1534976
2280,2277.76,154.7361,0.1622014
2310,2280.54,151.9117,0.1592826
2340,2280.72,156.6837,0.1590939
2370,2278.22,153.9395,0.1617182
2400,2276.17,155.5311,0.1638725
2430,2282.4,150.155,0.1573319
2460,2282.61,156.1787,0.1571116
2490,2281.97,153.3499,0.1577827
2520,2280.73,153.9104,0.1590834
2550,2279.7,152.9668,0.1601642
2580,2282.1,154.5951,0.1576463
2610,2281.51,154.0997,0.1582651
2640,2278.18,154.0626,0.1617604
2670,2284.0,152.3567,0.1556549
2700,2283.86,154.3504,0.1558015
2730,2276.38,153.2516,0.1636517
2760,2285.76,155.0645,0.1538117
2790,2277.79,156.7693,0.16217
2820,2282.32,155.7208,0.1574157
2850,2277.02,152.1298,0.162979
2880,2280.17,155.0407,0.159671
2910,2281.24,152.3252,0.1585484
2940,2278.3,154.371,0.1616341
2970,2275.81,152.903,0.1642508
3000,2283.41,153.3461,0.1562732
3030,2279.47,153.2937,0.1604058
3060,2281.28,154.6601,0.1585064
3090,2282.78,140.8938,0.1569334
3120,2280.74,154.5053,0.1590729
3150,2279.0,151.8388,0.1608992
3180,2280.03,154.2125,0.1598178
3210,2277.02,152.6773,0.162979
3240,2280.35,166.2387,0.159482
3270,2281.71,153.528,0.1580554
3300,2274.75,153.8152,0.1653658
3330,2279.9,152.6443,0.1599545
3360,2275.54,156.2337,0.1645348
