Time,ADC Value,Std Deviation,Calibrated OD
0,2121.21,109.4821,0.2922034
30,2109.56,142.311,0.3053819
60,2113.66,130.9797,0.3007359
90,2104.57,145.429,0.3110488
120,2129.64,131.8877,0.2827127
150,2117.12,145.5963,0.2968217
180,2113.97,130.4036,0.3003848
210,2109.07,146.1755,0.3059378
240,2113.78,131.0702,0.3005998
270,2115.53,146.9314,0.2986197
300,2123.18,131.3501,0.2899822
330,2113.62,145.9609,0.3007809
360,2139.73,133.018,0.2714019
390,2123.07,147.4751,0.290106
420,2121.09,131.2691,0.2923387
450,2117.66,147.8475,0.2962117
480,2121.73,131.2392,0.291617
510,2104.8,146.6156,0.3107874
540,2101.23,131.5321,0.3148496
570,2118.29,147.6324,0.2954997
600,2120.18,130.3604,0.2933658
630,2103.49,145.0065,0.3122772
660,2126.56,131.2267,0.2861757
690,2126.52,147.0618,0.2862207
720,2100.67,131.5939,0.3154874
750,2109.77,144.7485,0.3051438
780,2108.92,130.3005,0.3061081
810,2113.48,146.024,0.3009395
840,2106.96,129.3872,0.308333
870,2119.45,143.7729,0.2941897
900,2110.46,130.704,0.3043613
930,2105.53,146.1691,0.3099576
960,2105.35,130.1387,0.3101622
990,2117.95,145.6274,0.2958839
1020,2131.16,131.93,0.2810053
1050,2110.28,146.1231,0.3045654
1080,2114.1,131.1135,0.3002375
1110,2108.08,145.7297,0.3070613
1140,2114.27,130.1708,0.3000452
1170,2109.92,145.2092,0.3049738
1200,2127.84,131.0516,0.2847357
1230,2116.66,146.0529,0.2973419
1260,2134.52,131.9288,0.2772354
1290,2117.26,145.9595,0.2966636
1320,2123.32,130.3911,0.2898243
1350,2105.23,145.2448,0.3102986
1380,2108.08,129.2231,0.3070613
1410,2104.79,145.1842,0.3107988
1440,2104.34,130.007,0.3113103
1470,2116.08,147.0709,0.2979975
1500,2119.38,130.3857,0.294269
1530,2104.05,144.7156,0.3116402
1560,2122.71,132.0077,0.2905119
1590,2120.76,146.5959,0.2927112
1620,2116.85,131.5114,0.2971269
1650,2116.14,146.0038,0.2979299
1680,2127.28,132.1287,0.2853658
1710,2118.92,147.8373,0.2947882
1740,2115.83,133.169,0.2982801
1770,2107.52,144.5542,0.3076971
1800,2116.94,129.6386,0.2970253
1830,2119.48,147.08,0.2941559
1860,2122.47,132.122,0.2907825
1890,2118.38,145.9352,0.2953983
1920,2131.83,132.9093,0.280253
1950,2111.81,146.6068,0.302831
1980,2116.73,129.7111,0.2972627
2010,2124.35,146.5288,0.2886637
2040,2128.89,131.2456,0.2835555
2070,2115.18,145.6613,0.2990156
2100,2116.99,131.0469,0.2969688
2130,2121.08,147.2974,0.2923499
2160,2117.23,131.2816,0.2966975
2190,2115.41,147.0424,0.2987554
2220,2121.35,131.3382,0.2920455
2250,2111.98,146.5181,0.3026384
2280,2104.26,129.1154,0.3114014
2310,2116.92,146.5988,0.297048
2340,2111.26,131.4145,0.3034543
2370,2130.15,145.7644,0.2821396
2400,2105.43,131.5787,0.3100714
2430,2121.03,147.4164,0.2924065
2460,2121.79,131.2843,0.2915492
2490,2118.05,145.7415,0.2957709
2520,2130.7,132.191,0.2815218
2550,2112.59,145.8136,0.3019474
2580,2108.5,131.3086,0.3065847
2610,2105.25,144.7322,0.3102758
2640,2131.56,131.8321,0.280556
2670,2113.59,144.4022,0.3008148
2700,2109.69,129.9896,0.3052345
2730,2115.0,147.0657,0.2992192
2760,2104.39,130.9065,0.3112538
2790,2104.32,145.6172,0.3113331
2820,2114.7,130.9801,0.2995587
2850,2110.26,145.7917,0.3045881
2880,2124.53,131.5184,0.288461
2910,2112.04,144.3872,0.3025704
2940,2123.88,131.6707,0.2891935
2970,2120.64,146.9023,0.2928467
3000,2103.67,127.31,0.3120726
3030,2113.08,144.2812,0.3013923
3060,2112.11,130.3951,0.302491
3090,2113.7,146.7077,0.3006905
3120,2125.7,131.2386,0.2871437
3150,2123.68,146.1417,0.2894187
3180,2114.75,132.9337,0.299502
3210,2115.56,145.6715,0.2985856
3240,2123.93,130.3651,0.2891371
3270,2100.5,144.8787,0.3156811
3300,2122.15,132.6846,0.2911434
3330,2112.84,144.2757,0.3016642
3360,2103.98,133.2014,0.3117198
3390,2116.61,149.2487,0.2973982
3420,2111.26,129.9982,0.3034543
3450,2123.94,145.1853,0.2891258
3480,2101.76,130.9054,0.314246
3510,2108.71,146.4071,0.3063464
3540,2111.43,132.1891,0.3032618
3570,2111.42,146.7147,0.3032732
3600,2122.82,131.9265,0.2903878
3630,2107.51,146.9405,0.3077084
3660,2117.85,130.7335,0.2959967
3690,2114.46,146.3288,0.2998302
3720,2118.06,132.2587,0.2957595
3750,2115.22,145.217,0.2989703
3780,2117.21,130.7837,0.2967201
3810,2107.87,145.2362,0.3072996
3840,2114.15,131.152,0.3001812
3870,2104.53,144.425,0.3110943
3900,2113.66,127.3487,0.3007359
3930,2117.04,130.5531,0.2969121
3960,2122.85,128.9245,0.290354
3990,2117.02,132.1656,0.2969347
4020,2116.36,128.486,0.2976808
4050,2111.12,131.2122,0.3036129
4080,2113.4,129.9687,0.3010302
4110,2108.66,132.4219,0.3064032
4140,2121.77,128.8961,0.2915718
4170,2118.36,130.496,0.2954206
4200,2108.65,127.8713,0.3064145
4230,2118.14,130.7479,0.2956693
4260,2122.54,129.2741,0.2907034
4290,2110.62,131.6396,0.3041798
4320,2117.75,129.3942,0.2961099
4350,2121.43,128.7873,0.2919554
4380,2105.97,128.9611,0.3094576
4410,2126.85,129.2294,0.2858494
4440,2111.94,128.4258,0.3026838
4470,2116.83,130.2686,0.2971495
4500,2115.36,129.1629,0.2988118
4530,2116.71,129.0924,0.2972853
4560,2122.61,129.1088,0.2906245
4590,2127.57,131.3106,0.2850394
4620,2123.51,130.1665,0.2896103
4650,2116.62,128.9444,0.2973868
4680,2123.06,137.8319,0.2901173
4710,2120.62,131.5499,0.292869
4740,2119.65,129.3298,0.2939641
4770,2120.05,131.538,0.2935123
4800,2118.28,128.9867,0.2955111
4830,2116.52,132.5233,0.2975001
4860,2120.16,129.3831,0.2933884
4890,2112.43,130.4825,0.3021288
4920,2124.88,129.5486,0.2880671
4950,2109.31,131.5885,0.3056654
4980,2114.78,129.2728,0.2994681
5010,2113.76,132.5028,0.3006225
5040,2129.05,128.0787,0.2833755
5070,2110.13,131.0786,0.3047357
5100,2116.42,128.4332,0.2976131
5130,2109.85,129.8228,0.3050529
5160,2117.93,128.8325,0.2959065
5190,2113.13,131.4301,0.301336
5220,2122.43,129.3772,0.2908277
5250,2121.19,132.3618,0.292226
5280,2111.12,129.4252,0.3036129
5310,2116.04,130.8298,0.2980428
5340,2116.18,128.3401,0.2978846
